"period","month","day","airline","src","dst","distance","SrcWeather","DstWeather","arrivalDelay"
"summer","August","Wednesday","Brussels Airlines","Belgium","Israel","mid","",,"heavy delay"
"summer","August","Thursday","El Al","Italy","Israel","mid","",,"on time"
"summer","August","Wednesday","El Al","Czechia","Israel","mid","",,"on time"
"summer","August","Thursday","ITA Airways","Italy","Israel","mid","",,"on time"
"summer","August","Wednesday","El Al","United States","Israel","long","",,"on time"
"summer","August","Thursday","FedEx","Germany","Israel","mid","",,"on time"
"summer","August","Thursday","Wizz Air","Cyprus","Israel","short","",,"slight delay"
"summer","August","Wednesday","Cathay Pacific","Hong Kong","Israel","long","",,"on time"
"summer","August","Thursday","Wizz Air","Romania","Israel","mid","",,"on time"
"summer","August","Thursday","Wizz Air","Romania","Israel","mid","",,"on time"
"summer","August","Thursday","DHL (Hello - Servus Austria Livery)","Germany","Israel","mid","",,"slight delay"
"summer","August","Thursday","Air Canada","Canada","Israel","long","",,"heavy delay"
"summer","August","Thursday","Wizz Air","Greece","Israel","short","",,"on time"
"summer","August","Thursday","El Al","United States","Israel","long","",,"on time"
"summer","August","Thursday","easyJet","France","Israel","mid","",,"on time"
"summer","August","Thursday","easyJet","Italy","Israel","mid","",,"on time"
"summer","August","Thursday","Smartwings","Georgia","Israel","short","",,"slight delay"
"summer","August","Thursday","Norwegian (N.F.S. Gruntvig Livery)","Sweden","Israel","mid","",,"on time"
"summer","August","Thursday","El Al","Romania","Israel","mid","",,"slight delay"
"summer","August","Thursday","Israir Airlines (Future Peace Partnership Livery)","Czechia","Israel","mid","",,"slight delay"
"summer","August","Thursday","Bluebird Airways","Greece","Israel","short","",,"heavy delay"
"summer","August","Thursday","Israir Airlines (Israel-UAE Agreement Livery)","Montenegro","Israel","mid","",,"slight delay"
"summer","August","Thursday","El Al","Italy","Israel","mid","",,"on time"
"summer","August","Thursday","Transavia","France","Israel","mid","",,"on time"
"summer","August","Thursday","Wizz Air","Bulgaria","Israel","short","",,"on time"
"summer","August","Thursday","Wizz Air","Poland","Israel","mid","",,"on time"
"summer","August","Thursday","El Al","Netherlands","Israel","mid","",,"on time"
"summer","August","Thursday","El Al","United States","Israel","long","",,"on time"
"summer","August","Thursday","Smartwings","Greece","Israel","short","",,"heavy delay"
"summer","August","Thursday","American Airlines","United States","Israel","long","",,"on time"
"summer","August","Thursday","Norwegian (Karen Blixen Livery)","Denmark","Israel","mid","",,"on time"
"summer","August","Thursday","Bluebird Airways","Greece","Israel","short","",,"heavy delay"
"summer","August","Thursday","Azerbaijan Airlines","Azerbaijan","Israel","mid","",,"on time"
"summer","August","Thursday","Ryanair","Cyprus","Israel","short","",,"on time"
"summer","August","Thursday","El Al","Greece","Israel","short","",,"slight delay"
"summer","August","Thursday","El Al","United Arab Emirates","Israel","mid","",,"on time"
"summer","August","Thursday","Tus Airways","Germany","Israel","mid","",,"heavy delay"
"summer","August","Thursday","Wizz Air","United Kingdom","Israel","long","",,"slight delay"
"summer","August","Thursday","AnadoluJet","Turkey","Israel","short","",,"slight delay"
"summer","August","Thursday","El Al","Austria","Israel","mid","",,"slight delay"
"summer","August","Thursday","Turkish Cargo","Turkey","Israel","short","",,"on time"
"summer","August","Friday","Smartwings","Georgia","Israel","short","",,"heavy delay"
"summer","August","Thursday","Lufthansa","Germany","Israel","mid","",,"on time"
"summer","August","Thursday","Blue Air","Romania","Israel","mid","",,"slight delay"
"summer","August","Friday","LOT","Poland","Israel","mid","",,"on time"
"summer","August","Thursday","flydubai","United Arab Emirates","Israel","mid","",,"on time"
"summer","August","Friday","Corendon Airlines (Antalyaspor Livery)","Turkey","Israel","short","",,"slight delay"
"summer","August","Friday","Ethiopian Airlines","Ethiopia","Israel","mid","",,"on time"
"summer","August","Friday","Corendon Airlines (Eurovision 2020 Livery)","Turkey","Israel","short","",,"on time"
"summer","August","Thursday","El Al","United States","Israel","long","",,"on time"
"summer","August","Friday","El Al","Portugal","Israel","long","",,"on time"
"summer","August","Friday","flydubai","United Arab Emirates","Israel","mid","",,"on time"
"summer","August","Friday","El Al","Canada","Israel","long","",,"slight delay"
"summer","August","Friday","Pegasus","Turkey","Israel","short","",,"heavy delay"
"summer","August","Thursday","United Airlines","United States","Israel","long","",,"on time"
"summer","August","Friday","Wizz Air","Bulgaria","Israel","short","",,"on time"
"summer","August","Friday","Wizz Air","Italy","Israel","mid","",,"slight delay"
"summer","August","Friday","LOT","Poland","Israel","mid","",,"slight delay"
"summer","August","Thursday","Aegean Airlines","Greece","Israel","short","",,"on time"
"summer","August","Wednesday","El Al","Italy","Israel","mid","",,"on time"
"summer","August","Thursday","Israir Airlines (Israel-UAE Agreement Livery)","Czechia","Israel","mid","",,"heavy delay"
"summer","August","Wednesday","Tus Airways","Italy","Israel","mid","",,"on time"
"summer","August","Thursday","Corendon Airlines (Antalyaspor Livery)","Turkey","Israel","short","",,"on time"
"summer","August","Wednesday","El Al","Spain","Israel","long","",,"on time"
"summer","August","Thursday","Ethiopian Airlines","Ethiopia","Israel","mid","",,"slight delay"
"summer","August","Thursday","Virgin Atlantic","United Kingdom","Israel","long","",,"on time"
"summer","August","Thursday","El Al","Morocco","Israel","long","",,"on time"
"summer","August","Wednesday","El Al","United States","Israel","long","",,"on time"
"summer","August","Thursday","Air Moldova","Moldova","Israel","mid","",,"heavy delay"
"summer","August","Thursday","DHL","Belgium","Israel","mid","",,"on time"
"summer","August","Thursday","Aegean Airlines","Greece","Israel","short","",,"on time"
"summer","August","Thursday","Pegasus","Turkey","Israel","short","",,"on time"
"summer","August","Thursday","Tus Airways","Cyprus","Israel","short","",,"on time"
"summer","August","Thursday","Israir Airlines (Israel-UAE Agreement Livery)","Hungary","Israel","mid","",,"heavy delay"
"summer","August","Thursday","Tus Airways","Cyprus","Israel","short","",,"slight delay"
"summer","August","Thursday","Wizz Air","Greece","Israel","short","",,"heavy delay"
"summer","August","Thursday","El Al","Greece","Israel","short","",,"on time"
"summer","August","Thursday","Smartwings","Greece","Israel","short","",,"heavy delay"
"summer","August","Thursday","Corendon Airlines (Antalyaspor Livery)","Turkey","Israel","short","",,"on time"
"summer","August","Thursday","Turkish Airlines","Turkey","Israel","short","",,"slight delay"
"summer","August","Thursday","ITA Airways","Italy","Israel","mid","",,"on time"
"summer","August","Thursday","easyJet","United Kingdom","Israel","long","",,"heavy delay"
"summer","August","Thursday","Air France","France","Israel","mid","",,"slight delay"
"summer","August","Thursday","Brussels Airlines","Belgium","Israel","mid","",,"on time"
"summer","August","Thursday","El Al","France","Israel","mid","",,"on time"
"summer","August","Thursday","El Al","Germany","Israel","mid","",,"on time"
"summer","August","Thursday","El Al","France","Israel","mid","",,"slight delay"
"summer","August","Thursday","American Airlines (Oneworld Livery)","United States","Israel","long","",,"on time"
"summer","August","Thursday","Wizz Air","Romania","Israel","mid","",,"slight delay"
"summer","August","Thursday","Ryanair","Belgium","Israel","mid","",,"slight delay"
"summer","August","Thursday","easyJet","France","Israel","mid","",,"on time"
"summer","August","Thursday","Ryanair","Italy","Israel","mid","",,"heavy delay"
"summer","August","Thursday","Turkish Airlines","Turkey","Israel","short","",,"heavy delay"
"summer","August","Thursday","easyJet (NEO Livery)","United Kingdom","Israel","long","",,"on time"
"summer","August","Thursday","easyJet (Europcar Livery)","United Kingdom","Israel","long","",,"on time"
"summer","August","Thursday","Wizz Air","Hungary","Israel","mid","",,"heavy delay"
"summer","August","Thursday","El Al","Austria","Israel","mid","",,"heavy delay"
"summer","August","Thursday","Wizz Air","United Kingdom","Israel","long","",,"heavy delay"
"summer","August","Thursday","","Turkey","Israel","short","",,"on time"
"summer","August","Thursday","flydubai","United Arab Emirates","Israel","mid","",,"on time"
"summer","August","Thursday","Pegasus","Turkey","Israel","short","",,"on time"
"summer","August","Thursday","British Airways","United Kingdom","Israel","long","",,"heavy delay"
"summer","August","Thursday","Austrian Airlines","Austria","Israel","mid","",,"heavy delay"
"summer","August","Friday","Aegean Airlines","Greece","Israel","short","",,"on time"
"summer","August","Friday","Turkish Airlines","Turkey","Israel","short","",,"slight delay"
"summer","August","Thursday","Brussels Airlines","Belgium","Israel","mid","",,"slight delay"
"summer","August","Friday","Swiss","Switzerland","Israel","mid","",,"slight delay"
"summer","August","Friday","El Al","Italy","Israel","mid","",,"heavy delay"
"summer","August","Friday","ITA Airways","Italy","Israel","mid","",,"on time"
"summer","August","Friday","Croatia Airlines","Croatia","Israel","mid","",,"on time"
"summer","August","Friday","Virgin Atlantic","United Kingdom","Israel","long","",,"on time"
"summer","August","Thursday","El Al (Retro Livery)","Thailand","Israel","long","",,"on time"
"summer","August","Friday","Wizz Air","Bulgaria","Israel","mid","",,"on time"
"summer","August","Friday","Wizz Air","Hungary","Israel","mid","",,"on time"
"summer","August","Friday","AnadoluJet","Turkey","Israel","short","",,"on time"
"summer","August","Friday","Ryanair","Cyprus","Israel","short","",,"on time"
"summer","August","Friday","EgyptAir","Egypt","Israel","short","",,"slight delay"
"summer","August","Friday","Tus Airways","Greece","Israel","short","",,"on time"
"summer","August","Thursday","Air France","France","Israel","mid","",,"on time"
"summer","August","Thursday","FedEx","Austria","Israel","mid","",,"slight delay"
"summer","August","Saturday","easyJet","Netherlands","Israel","mid","",,"on time"
"summer","August","Saturday","Israir Airlines (Israel-UAE Agreement Livery)","Italy","Israel","mid","",,"slight delay"
"summer","August","Saturday","Smartwings","Greece","Israel","short","",,"on time"
"summer","August","Saturday","Red Wings","Russia","Israel","mid","",,"on time"
"summer","August","Saturday","Bluebird Airways","Cyprus","Israel","short","",,"heavy delay"
"summer","August","Saturday","VistaJet Malta","Turkey","Israel","short","",,"heavy delay"
"summer","August","Saturday","Smartwings","Montenegro","Israel","mid","",,"on time"
"summer","August","Saturday","Austrian Airlines","Austria","Israel","mid","",,"slight delay"
"summer","August","Saturday","easyJet","Italy","Israel","mid","",,"on time"
"summer","August","Saturday","Wizz Air","Romania","Israel","mid","",,"slight delay"
"summer","August","Saturday","","Switzerland","Israel","mid","",,"slight delay"
"summer","August","Saturday","Wizz Air","United Kingdom","Israel","long","",,"slight delay"
"summer","August","Saturday","Ryanair","Cyprus","Israel","short","",,"on time"
"summer","August","Saturday","Iberia","Spain","Israel","long","",,"on time"
"summer","August","Saturday","flydubai","United Arab Emirates","Israel","mid","",,"on time"
"summer","August","Saturday","Pegasus","Turkey","Israel","short","",,"slight delay"
"summer","August","Sunday","Aegean Airlines","Greece","Israel","short","",,"on time"
"summer","August","Sunday","Turkish Airlines","Turkey","Israel","short","",,"slight delay"
"summer","August","Sunday","Bulgaria Air","Bulgaria","Israel","mid","",,"on time"
"summer","August","Sunday","San Marino Executive Aviation","Turkey","Israel","short","",,"heavy delay"
"summer","August","Saturday","Air Baltic","Latvia","Israel","mid","",,"on time"
"summer","August","Sunday","FedEx","France","Israel","mid","",,"slight delay"
"summer","August","Saturday","Wizz Air","Italy","Israel","mid","",,"heavy delay"
"summer","August","Sunday","Royal Jordanian","Jordan","Israel","short","",,"on time"
"summer","August","Sunday","Wizz Air","Bulgaria","Israel","mid","",,"on time"
"summer","August","Sunday","MNG Airlines","Turkey","Israel","short","",,"on time"
"summer","August","Sunday","Wizz Air","Hungary","Israel","mid","",,"on time"
"summer","August","Saturday","Wizz Air","Greece","Israel","short","",,"on time"
"summer","August","Sunday","AnadoluJet","Turkey","Israel","short","",,"heavy delay"
"summer","August","Sunday","easyJet (NEO Livery)","France","Israel","mid","",,"on time"
"summer","August","Sunday","Transavia","Netherlands","Israel","mid","",,"slight delay"
"summer","August","Sunday","flydubai","United Arab Emirates","Israel","mid","",,"on time"
"summer","August","Sunday","Smartwings","Georgia","Israel","short","",,"on time"
"summer","August","Sunday","Smartwings","Greece","Israel","short","",,"slight delay"
"summer","August","Sunday","Pegasus","Turkey","Israel","short","",,"heavy delay"
"summer","August","Sunday","El Al","Hungary","Israel","mid","",,"on time"
"summer","August","Sunday","Lufthansa Cargo","Germany","Israel","mid","",,"on time"
"summer","August","Sunday","Brussels Airlines (Tintin comics Livery)","Belgium","Israel","mid","",,"slight delay"
"summer","August","Sunday","Israir Airlines (Future Peace Partnership Livery)","Czechia","Israel","mid","",,"heavy delay"
"summer","August","Sunday","El Al","United Kingdom","Israel","long","",,"on time"
"summer","August","Sunday","El Al","Spain","Israel","long","",,"on time"
"summer","August","Sunday","Israir Airlines (Future Peace Partnership Livery)","Greece","Israel","short","",,"on time"
"summer","August","Sunday","Delta Air Lines","United States","Israel","long","",,"on time"
"summer","August","Sunday","Corendon Airlines","Greece","Israel","short","",,"on time"
